CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
5/24/2025,Woodbridge,559,3,425,131,24,0.183206
5/24/2025,East Brunswick,1013,6,813,194,49,0.252577
5/24/2025,Hazlet,892,0,668,224,65,0.290179
5/24/2025,Marlboro,517,0,429,88,22,0.25
5/24/2025,Monmouth Junction,484,0,368,116,26,0.224138
5/24/2025,Oakhurst,391,0,305,86,21,0.244186
5/24/2025,Piscataway,558,9,408,141,40,0.283688
5/24/2025,Roselle,1279,0,1042,237,41,0.172996
5/24/2025,Roselle Park,538,0,423,115,51,0.443478
5/24/2025,Scotch Plains,572,0,467,105,37,0.352381
5/24/2025,Summit,663,1,438,224,42,0.1875
5/24/2025,Tices Lane,919,2,739,178,42,0.235955
5/24/2025,Westfield,619,6,420,193,55,0.284974
5/23/2025,Monmouth Junction,378,0,311,67,15,0.223881
5/23/2025,East Brunswick,634,1,540,93,10,0.107527
5/23/2025,Hazlet,541,0,452,89,14,0.157303
5/23/2025,Marlboro,324,0,280,44,4,0.090909
5/23/2025,Oakhurst,199,0,163,36,4,0.111111
5/23/2025,Piscataway,305,5,236,64,5,0.078125
5/23/2025,Roselle,731,0,643,88,11,0.125
5/23/2025,Scotch Plains,263,0,223,40,8,0.2
5/23/2025,Summit,380,3,270,107,8,0.074766
5/23/2025,Tices Lane,559,0,497,62,12,0.193548
5/23/2025,Westfield,315,5,217,93,4,0.043011
5/23/2025,Woodbridge,436,14,349,73,6,0.082192
5/23/2025,Roselle Park,273,0,231,42,15,0.357143
5/22/2025,Roselle,0,0,0,0,0,0
5/22/2025,East Brunswick,0,0,0,0,0,0
5/22/2025,Hazlet,0,0,0,0,0,0
5/22/2025,Marlboro,0,0,0,0,0,0
5/22/2025,Monmouth Junction,0,0,0,0,0,0
5/22/2025,Oakhurst,0,0,0,0,0,0
5/22/2025,Piscataway,0,0,0,0,0,0
5/22/2025,Roselle Park,0,0,0,0,0,0
5/22/2025,Scotch Plains,0,0,0,0,0,0
5/22/2025,Summit,0,0,0,0,0,0
5/22/2025,Tices Lane,4,0,1,3,0,0
5/22/2025,Westfield,3,0,1,2,0,0
5/22/2025,Woodbridge,0,0,0,0,0,0
5/21/2025,Monmouth Junction,8,0,7,1,1,1
5/21/2025,East Brunswick,13,0,12,1,1,1
5/21/2025,Hazlet,8,0,7,1,1,1
5/21/2025,Marlboro,0,0,0,0,0,0
5/21/2025,Oakhurst,15,0,13,2,1,0.5
5/21/2025,Piscataway,11,1,10,0,0,0
5/21/2025,Roselle,25,2,19,4,0,0
5/21/2025,Scotch Plains,13,0,9,4,0,0
5/21/2025,Roselle Park,8,0,7,1,2,2
5/21/2025,Woodbridge,14,0,13,1,0,0
5/21/2025,Westfield,22,1,15,6,1,0.166667
5/21/2025,Tices Lane,13,0,11,2,0,0
5/21/2025,Summit,29,0,20,9,2,0.222222
5/20/2025,Roselle,1037,4,842,191,25,0.13089
5/20/2025,East Brunswick,971,6,816,149,24,0.161074
5/20/2025,Hazlet,940,0,730,210,18,0.085714
5/20/2025,Marlboro,490,0,400,90,12,0.133333
5/20/2025,Monmouth Junction,540,8,423,109,12,0.110092
5/20/2025,Oakhurst,413,1,306,106,12,0.113208
5/20/2025,Piscataway,448,7,365,76,8,0.105263
5/20/2025,Roselle Park,412,0,310,102,30,0.294118
5/20/2025,Scotch Plains,482,0,391,91,19,0.208791
5/20/2025,Summit,672,3,454,215,20,0.093023
5/20/2025,Tices Lane,848,3,696,149,17,0.114094
5/20/2025,Westfield,547,12,382,153,10,0.065359
5/20/2025,Woodbridge,598,31,461,106,10,0.09434
5/19/2025,Roselle,1282,1,1047,234,26,0.111111
5/19/2025,Piscataway,369,4,288,77,11,0.142857
5/19/2025,Oakhurst,526,0,404,122,14,0.114754
5/19/2025,Monmouth Junction,705,5,576,124,31,0.25
5/19/2025,Marlboro,615,0,522,93,17,0.182796
5/19/2025,Hazlet,1078,0,846,232,34,0.146552
5/19/2025,East Brunswick,1172,5,991,176,28,0.159091
5/19/2025,Scotch Plains,640,0,537,103,17,0.165049
5/19/2025,Summit,768,5,559,204,15,0.073529
5/19/2025,Tices Lane,1019,3,848,168,27,0.160714
5/19/2025,Westfield,758,18,549,191,12,0.062827
5/19/2025,Woodbridge,594,17,482,95,11,0.115789
5/19/2025,Roselle Park,529,0,409,120,29,0.241667
5/18/2025,Roselle,1409,0,1131,278,31,0.111511
5/18/2025,East Brunswick,1388,3,1145,240,29,0.120833
5/18/2025,Hazlet,1102,1,857,244,34,0.139344
5/18/2025,Marlboro,761,0,613,148,25,0.168919
5/18/2025,Monmouth Junction,872,2,646,224,46,0.205357
5/18/2025,Oakhurst,568,0,433,135,20,0.148148
5/18/2025,Piscataway,686,10,538,138,22,0.15942
5/18/2025,Roselle Park,678,0,517,161,39,0.242236
5/18/2025,Scotch Plains,779,0,621,158,32,0.202532
5/18/2025,Summit,775,7,525,243,18,0.074074
5/18/2025,Tices Lane,1105,0,899,206,22,0.106796
5/18/2025,Westfield,673,7,470,196,16,0.081633
5/18/2025,Woodbridge,567,10,461,96,5,0.052083
5/17/2025,East Brunswick,1314,1,1112,201,35,0.174129
5/17/2025,Hazlet,1000,0,780,220,35,0.159091
5/17/2025,Marlboro,717,0,577,140,16,0.114286
5/17/2025,Monmouth Junction,757,2,601,154,33,0.214286
5/17/2025,Oakhurst,458,1,368,89,16,0.179775
5/17/2025,Piscataway,582,6,448,128,15,0.117188
5/17/2025,Roselle,1338,0,1080,258,28,0.108527
5/17/2025,Scotch Plains,753,0,620,133,22,0.165414
5/17/2025,Summit,759,4,553,202,14,0.069307
5/17/2025,Tices Lane,1076,0,881,195,54,0.276923
5/17/2025,Westfield,704,9,512,183,9,0.04918
5/17/2025,Woodbridge,599,8,497,94,11,0.117021
5/17/2025,Roselle Park,686,0,511,175,46,0.262857
5/16/2025,Roselle,717,4,602,111,17,0.153153
5/16/2025,East Brunswick,465,0,404,61,10,0.163934
5/16/2025,Hazlet,476,0,409,67,12,0.179104
5/16/2025,Marlboro,235,0,195,40,3,0.075
5/16/2025,Monmouth Junction,258,6,209,43,3,0.069767
5/16/2025,Oakhurst,178,0,150,28,3,0.107143
5/16/2025,Piscataway,88,4,68,16,2,0.125
5/16/2025,Roselle Park,342,0,175,167,39,0.233533
5/16/2025,Scotch Plains,262,0,226,36,10,0.277778
5/16/2025,Summit,175,1,123,51,2,0.039216
5/16/2025,Tices Lane,493,0,446,47,8,0.170213
5/16/2025,Westfield,140,2,92,46,2,0.043478
5/16/2025,Woodbridge,222,13,169,40,2,0.05
5/15/2025,Roselle,740,6,662,72,11,0.152778
5/15/2025,East Brunswick,507,2,457,48,9,0.1875
5/15/2025,Hazlet,436,0,380,56,7,0.125
5/15/2025,Marlboro,227,0,203,24,1,0.041667
5/15/2025,Monmouth Junction,202,0,166,36,2,0.055556
5/15/2025,Oakhurst,200,0,174,26,4,0.153846
5/15/2025,Piscataway,170,9,129,32,3,0.09375
5/15/2025,Roselle Park,328,0,202,126,27,0.214286
5/15/2025,Scotch Plains,192,0,179,13,5,0.384615
5/15/2025,Summit,247,2,168,77,1,0.012987
5/15/2025,Tices Lane,465,0,413,52,12,0.230769
5/15/2025,Westfield,120,4,84,32,2,0.0625
5/15/2025,Woodbridge,334,11,276,47,6,0.12766
5/14/2025,Roselle,0,0,0,0,0,0
5/14/2025,East Brunswick,0,0,0,0,0,0
5/14/2025,Hazlet,0,0,0,0,0,0
5/14/2025,Marlboro,0,0,0,0,0,0
5/14/2025,Monmouth Junction,0,0,0,0,0,0
5/14/2025,Oakhurst,0,0,0,0,0,0
5/14/2025,Piscataway,0,0,0,0,0,0
5/14/2025,Roselle Park,0,0,0,0,0,0
5/14/2025,Scotch Plains,0,0,0,0,0,0
5/14/2025,Summit,0,0,0,0,0,0
5/14/2025,Tices Lane,0,0,0,0,0,0
5/14/2025,Westfield,0,0,0,0,0,0
5/14/2025,Woodbridge,0,0,0,0,0,0
5/13/2025,Monmouth Junction,31,0,23,8,1,0.125
5/13/2025,Hazlet,65,0,55,10,1,0.1
5/13/2025,Marlboro,41,0,36,5,0,0
5/13/2025,East Brunswick,62,0,53,9,3,0.333333
5/13/2025,Oakhurst,16,0,13,3,0,0
5/13/2025,Piscataway,38,2,30,6,1,0.166667
5/13/2025,Roselle,234,3,198,33,4,0.121212
5/13/2025,Scotch Plains,75,0,64,11,1,0.090909
5/13/2025,Summit,137,0,92,45,5,0.111111
5/13/2025,Tices Lane,67,0,59,8,1,0.125
5/13/2025,Westfield,68,3,47,18,0,0
5/13/2025,Woodbridge,120,10,92,18,1,0.055556
5/13/2025,Roselle Park,86,0,38,48,11,0.229167
5/12/2025,Roselle,1186,0,1016,170,17,0.1
5/12/2025,East Brunswick,1124,4,975,145,18,0.124138
5/12/2025,Hazlet,962,0,809,153,29,0.189542
5/12/2025,Marlboro,572,0,503,69,16,0.231884
5/12/2025,Monmouth Junction,597,5,489,103,26,0.252427
5/12/2025,Oakhurst,418,0,334,84,12,0.142857
5/12/2025,Piscataway,444,8,367,69,11,0.15942
5/12/2025,Roselle Park,586,0,268,318,54,0.169811
5/12/2025,Scotch Plains,540,0,466,74,9,0.121622
5/12/2025,Summit,683,2,495,186,16,0.086022
5/12/2025,Tices Lane,817,1,699,117,14,0.119658
5/12/2025,Westfield,561,6,417,138,11,0.07971
5/12/2025,Woodbridge,577,27,476,74,7,0.094595
5/11/2025,Monmouth Junction,707,0,527,180,39,0.216667
5/11/2025,Hazlet,938,0,695,243,18,0.074074
5/11/2025,Marlboro,630,0,500,130,20,0.153846
5/11/2025,East Brunswick,1264,5,1017,242,26,0.107438
5/11/2025,Oakhurst,425,0,324,101,19,0.188119
5/11/2025,Piscataway,522,4,389,129,10,0.077519
5/11/2025,Roselle,1209,0,962,247,35,0.1417
5/11/2025,Scotch Plains,606,0,502,104,21,0.201923
5/11/2025,Summit,700,3,447,250,24,0.096
5/11/2025,Tices Lane,1066,2,824,240,19,0.079167
5/11/2025,Westfield,625,7,425,193,9,0.046632
5/11/2025,Woodbridge,530,6,416,108,13,0.12037
5/11/2025,Roselle Park,714,0,329,385,96,0.249351
5/10/2025,Monmouth Junction,834,6,641,187,30,0.160428
5/10/2025,East Brunswick,1566,7,1274,285,48,0.168421
5/10/2025,Hazlet,1153,0,907,246,34,0.138211
5/10/2025,Marlboro,825,0,669,156,34,0.217949
5/10/2025,Oakhurst,579,1,445,133,21,0.157895
5/10/2025,Piscataway,696,4,537,155,21,0.135484
5/10/2025,Roselle,1539,0,1270,269,31,0.115242
5/10/2025,Scotch Plains,922,0,741,181,43,0.237569
5/10/2025,Summit,797,0,565,232,12,0.051724
5/10/2025,Tices Lane,1274,3,1006,265,31,0.116981
5/10/2025,Westfield,786,2,541,243,20,0.082305
5/10/2025,Woodbridge,626,5,496,125,11,0.088
5/10/2025,Roselle Park,967,0,465,502,90,0.179283
5/9/2025,Hazlet,45,0,38,7,3,0.428571
5/9/2025,Marlboro,46,0,39,7,2,0.285714
5/9/2025,Monmouth Junction,13,0,11,2,1,0.5
5/9/2025,Oakhurst,24,0,19,5,2,0.4
5/9/2025,Piscataway,0,0,0,0,0,0
5/9/2025,Roselle,90,1,79,10,3,0.3
5/9/2025,Roselle Park,41,0,28,13,6,0.461538
5/9/2025,Scotch Plains,29,0,21,8,1,0.125
5/9/2025,Summit,0,0,0,0,0,0
5/9/2025,Tices Lane,90,0,81,9,2,0.222222
5/9/2025,Westfield,3,0,0,3,0,0
5/9/2025,Woodbridge,0,0,0,0,0,0
5/9/2025,East Brunswick,105,1,93,11,0,0
5/8/2025,Woodbridge,541,29,435,77,3,0.038961
5/8/2025,East Brunswick,1043,6,845,192,27,0.140625
5/8/2025,Hazlet,752,0,631,121,15,0.123967
5/8/2025,Marlboro,496,0,419,77,15,0.194805
5/8/2025,Monmouth Junction,511,4,418,89,10,0.11236
5/8/2025,Oakhurst,413,0,330,83,14,0.168675
5/8/2025,Piscataway,404,13,324,67,11,0.164179
5/8/2025,Roselle,838,2,747,89,15,0.168539
5/8/2025,Roselle Park,488,0,229,259,52,0.200772
5/8/2025,Scotch Plains,390,0,345,45,16,0.355556
5/8/2025,Summit,562,1,432,129,14,0.108527
5/8/2025,Tices Lane,996,2,827,167,19,0.113772
5/8/2025,Westfield,483,17,356,110,10,0.090909
5/7/2025,Monmouth Junction,776,14,645,117,24,0.205128
5/7/2025,East Brunswick,1483,6,1310,167,22,0.131737
5/7/2025,Hazlet,893,0,767,126,21,0.166667
5/7/2025,Marlboro,605,0,544,61,15,0.245902
5/7/2025,Oakhurst,448,0,371,77,14,0.181818
5/7/2025,Piscataway,653,9,549,95,9,0.094737
5/7/2025,Roselle,1249,4,1112,133,26,0.195489
5/7/2025,Scotch Plains,654,0,582,72,17,0.236111
5/7/2025,Summit,711,1,579,131,7,0.053435
5/7/2025,Tices Lane,1220,1,1035,184,26,0.141304
5/7/2025,Westfield,602,11,485,106,10,0.09434
5/7/2025,Woodbridge,600,17,520,63,8,0.126984
5/7/2025,Roselle Park,665,0,325,340,71,0.208824
5/6/2025,Roselle,475,1,436,38,2,0.052632
5/6/2025,East Brunswick,486,4,437,45,4,0.088889
5/6/2025,Hazlet,427,0,360,67,10,0.149254
5/6/2025,Marlboro,260,0,242,18,3,0.166667
5/6/2025,Monmouth Junction,212,0,190,22,3,0.136364
5/6/2025,Oakhurst,140,0,117,23,4,0.173913
5/6/2025,Piscataway,0,0,0,0,0,0
5/6/2025,Roselle Park,252,0,105,147,11,0.07483
5/6/2025,Scotch Plains,174,0,151,23,4,0.173913
5/6/2025,Summit,0,0,0,0,0,0
5/6/2025,Tices Lane,489,0,446,43,6,0.139535
5/6/2025,Westfield,5,1,2,2,0,0
5/6/2025,Woodbridge,0,0,0,0,0,0
5/5/2025,Monmouth Junction,90,1,69,20,4,0.2
5/5/2025,East Brunswick,124,0,107,17,2,0.117647
5/5/2025,Hazlet,56,0,53,3,0,0
5/5/2025,Marlboro,43,0,38,5,2,0.4
5/5/2025,Oakhurst,28,0,24,4,1,0.25
5/5/2025,Piscataway,37,1,30,6,1,0.166667
5/5/2025,Roselle,127,0,110,17,1,0.058824
5/5/2025,Scotch Plains,64,0,55,9,1,0.111111
5/5/2025,Roselle Park,76,0,34,42,5,0.119048
5/5/2025,Woodbridge,55,6,43,6,1,0.166667
5/5/2025,Westfield,36,1,25,10,0,0
5/5/2025,Tices Lane,135,0,118,17,1,0.058824
5/5/2025,Summit,65,0,51,14,0,0
5/4/2025,Roselle,243,0,210,33,4,0.121212
5/4/2025,East Brunswick,411,1,335,75,19,0.253333
5/4/2025,Hazlet,386,0,317,69,11,0.15942
5/4/2025,Marlboro,200,0,164,36,4,0.111111
5/4/2025,Monmouth Junction,186,0,154,32,7,0.21875
5/4/2025,Oakhurst,217,0,159,58,10,0.172414
5/4/2025,Piscataway,77,2,62,13,0,0
5/4/2025,Roselle Park,203,0,66,137,39,0.284672
5/4/2025,Scotch Plains,132,0,120,12,2,0.166667
5/4/2025,Summit,144,1,100,43,1,0.023256
5/4/2025,Tices Lane,376,1,306,69,13,0.188406
5/4/2025,Westfield,107,1,68,38,7,0.184211
5/4/2025,Woodbridge,155,5,122,28,4,0.142857
5/3/2025,Roselle,1404,0,1072,332,47,0.141566
5/3/2025,Piscataway,621,2,448,171,21,0.122807
5/3/2025,Oakhurst,696,0,476,220,39,0.177273
5/3/2025,Monmouth Junction,890,4,628,258,58,0.224806
5/3/2025,Marlboro,802,0,639,163,46,0.282209
5/3/2025,Hazlet,1159,0,860,299,53,0.177258
5/3/2025,East Brunswick,1481,6,1131,344,67,0.194767
5/3/2025,Scotch Plains,741,0,584,157,32,0.203822
5/3/2025,Summit,776,1,477,298,20,0.067114
5/3/2025,Tices Lane,1228,0,922,306,69,0.22549
