CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
1/11/2025,East Brunswick,870,3,602,265,64,0.241509
1/11/2025,Hazlet,733,0,461,272,88,0.323529
1/11/2025,Marlboro,481,0,338,143,31,0.216783
1/11/2025,Monmouth Junction,569,1,377,191,72,0.376963
1/11/2025,Oakhurst,345,0,206,139,26,0.18705
1/11/2025,Piscataway,432,4,325,103,36,0.349515
1/11/2025,Roselle,1111,1,792,318,63,0.198113
1/11/2025,Scotch Plains,471,0,366,105,36,0.342857
1/11/2025,Summit,438,0,279,159,34,0.213836
1/11/2025,Tices Lane,847,1,589,257,76,0.29572
1/11/2025,Westfield,438,7,274,157,33,0.210191
1/11/2025,Woodbridge,370,3,260,107,36,0.336449
1/12/2025,East Brunswick,1271,8,789,474,109,0.229958
1/12/2025,Hazlet,951,0,505,446,113,0.253363
1/12/2025,Marlboro,704,0,441,263,59,0.224335
1/12/2025,Monmouth Junction,783,3,460,320,67,0.209375
1/12/2025,Oakhurst,554,0,293,261,41,0.157088
1/12/2025,Piscataway,694,5,471,218,43,0.197248
1/12/2025,Roselle,1234,0,774,460,118,0.256522
1/12/2025,Scotch Plains,665,0,432,233,69,0.296137
1/12/2025,Summit,693,12,423,258,40,0.155039
1/12/2025,Tices Lane,1059,3,657,399,99,0.24812
1/12/2025,Westfield,711,8,429,274,55,0.20073
1/12/2025,Woodbridge,506,3,374,129,16,0.124031
1/13/2025,East Brunswick,1020,9,651,360,47,0.130556
1/13/2025,Hazlet,964,0,554,410,66,0.160976
1/13/2025,Marlboro,482,0,327,155,39,0.251613
1/13/2025,Monmouth Junction,585,10,338,237,64,0.270042
1/13/2025,Oakhurst,440,0,244,196,27,0.137755
1/13/2025,Piscataway,487,8,328,151,24,0.15894
1/13/2025,Roselle,1155,1,762,392,83,0.211735
1/13/2025,Scotch Plains,388,0,268,120,24,0.2
1/13/2025,Summit,592,0,378,214,35,0.163551
1/13/2025,Tices Lane,874,0,538,336,58,0.172619
1/13/2025,Westfield,544,13,320,211,38,0.180095
1/13/2025,Woodbridge,587,15,400,172,13,0.075581
1/14/2025,East Brunswick,989,7,619,363,72,0.198347
1/14/2025,Hazlet,804,0,491,313,40,0.127796
1/14/2025,Marlboro,453,0,296,157,27,0.171975
1/14/2025,Monmouth Junction,537,7,324,206,28,0.135922
1/14/2025,Oakhurst,381,0,204,177,11,0.062147
1/14/2025,Piscataway,405,9,277,119,18,0.151261
1/14/2025,Roselle,1160,3,785,372,63,0.169355
1/14/2025,Scotch Plains,347,0,244,103,26,0.252427
1/14/2025,Summit,565,1,347,217,30,0.138249
1/14/2025,Tices Lane,837,0,517,320,61,0.190625
1/14/2025,Westfield,524,12,310,202,41,0.20297
1/14/2025,Woodbridge,564,18,379,167,26,0.155689
1/15/2025,East Brunswick,850,11,564,275,54,0.196364
1/15/2025,Hazlet,763,0,451,312,31,0.099359
1/15/2025,Marlboro,399,0,269,130,28,0.215385
1/15/2025,Monmouth Junction,436,6,265,165,39,0.236364
1/15/2025,Oakhurst,387,0,201,186,7,0.037634
1/15/2025,Piscataway,356,5,232,119,19,0.159664
1/15/2025,Roselle,994,2,676,316,81,0.256329
1/15/2025,Scotch Plains,284,0,209,75,25,0.333333
1/15/2025,Summit,493,3,299,191,14,0.073298
1/15/2025,Tices Lane,734,3,445,286,57,0.199301
1/15/2025,Westfield,425,11,252,162,25,0.154321
1/15/2025,Woodbridge,572,26,383,163,27,0.165644
1/16/2025,East Brunswick,595,7,397,191,31,0.162304
1/16/2025,Hazlet,605,0,396,209,30,0.143541
1/16/2025,Marlboro,305,0,207,98,18,0.183673
1/16/2025,Monmouth Junction,319,2,202,115,22,0.191304
1/16/2025,Oakhurst,239,0,139,100,11,0.11
1/16/2025,Piscataway,270,7,182,81,20,0.246914
1/16/2025,Roselle,872,2,619,251,46,0.183267
1/16/2025,Scotch Plains,215,0,164,51,12,0.235294
1/16/2025,Summit,429,1,261,167,11,0.065868
1/16/2025,Tices Lane,625,2,415,208,25,0.120192
1/16/2025,Westfield,400,14,244,142,21,0.147887
1/16/2025,Woodbridge,508,43,345,120,12,0.1
1/17/2025,East Brunswick,916,4,717,195,47,0.241026
1/17/2025,Hazlet,851,0,606,245,32,0.130612
1/17/2025,Marlboro,517,0,398,119,32,0.268908
1/17/2025,Monmouth Junction,539,1,412,126,27,0.214286
1/17/2025,Oakhurst,257,0,158,99,22,0.222222
1/17/2025,Piscataway,462,7,355,100,20,0.2
1/17/2025,Roselle,1150,5,882,263,49,0.186312
1/17/2025,Scotch Plains,419,0,343,76,17,0.223684
1/17/2025,Summit,485,2,328,155,19,0.122581
1/17/2025,Tices Lane,903,0,688,215,45,0.209302
1/17/2025,Westfield,446,10,305,131,23,0.175573
